,org_file,model_file,use_cols,index_cols,fmt,sep,head_rows,upper_bound,lower_bound,operator,mlt_file,zone_file,apply_order,fac_file,pp_file,pp_fill_value,pp_lower_limit,pp_upper_limit,chkpar,zero_based
0,org/freyberg6.npf_k_layer1.txt,freyberg6.npf_k_layer1.txt,,,%17.1F,,0,100,0.01,m,mult/npfklayer1gr_inst0_grid.csv,npfklayer1gr_inst0_grid.csv.zone,999,,,,,,,False
1,org/freyberg6.npf_k_layer1.txt,freyberg6.npf_k_layer1.txt,,,%17.1F,,0,100,0.01,m,mult/npfklayer1pp_inst0_pilotpoints.csv,npfklayer1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,npfklayer1pp_inst0pp.dat,1.0,1e-30,1e+30,,False
2,org/freyberg6.npf_k_layer1.txt,freyberg6.npf_k_layer1.txt,,,%17.1F,,0,100,0.01,m,mult/npfklayer1cn_inst0_constant.csv,npfklayer1cn_inst0_constant.csv.zone,999,,,,,,,False
3,org/freyberg6.sto_sy_layer1.txt,freyberg6.sto_sy_layer1.txt,,,%24.18E,,0,0.4,0.01,m,mult/stosylayer1gr_inst0_grid.csv,stosylayer1gr_inst0_grid.csv.zone,999,,,,,,,False
4,org/freyberg6.sto_sy_layer1.txt,freyberg6.sto_sy_layer1.txt,,,%24.18E,,0,0.4,0.01,m,mult/stosylayer1pp_inst0_pilotpoints.csv,stosylayer1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,stosylayer1pp_inst0pp.dat,1.0,1e-30,1e+30,,False
5,org/freyberg6.sto_sy_layer1.txt,freyberg6.sto_sy_layer1.txt,,,%24.18E,,0,0.4,0.01,m,mult/stosylayer1cn_inst0_constant.csv,stosylayer1cn_inst0_constant.csv.zone,999,,,,,,,False
9,org/freyberg6.rch_recharge_1.txt,freyberg6.rch_recharge_1.txt,,,%15.6E,,0,0.001,0,m,mult/rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
10,org/freyberg6.rch_recharge_2.txt,freyberg6.rch_recharge_2.txt,,,%15.6E,,0,0.001,0,m,mult/rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
11,org/freyberg6.rch_recharge_3.txt,freyberg6.rch_recharge_3.txt,,,%15.6E,,0,0.001,0,m,mult/rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
12,org/freyberg6.rch_recharge_4.txt,freyberg6.rch_recharge_4.txt,,,%15.6E,,0,0.001,0,m,mult/rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
13,org/freyberg6.rch_recharge_5.txt,freyberg6.rch_recharge_5.txt,,,%15.6E,,0,0.001,0,m,mult/rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
14,org/freyberg6.rch_recharge_6.txt,freyberg6.rch_recharge_6.txt,,,%15.6E,,0,0.001,0,m,mult/rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
15,org/freyberg6.rch_recharge_7.txt,freyberg6.rch_recharge_7.txt,,,%15.6E,,0,0.001,0,m,mult/rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
16,org/freyberg6.rch_recharge_8.txt,freyberg6.rch_recharge_8.txt,,,%15.6E,,0,0.001,0,m,mult/rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
17,org/freyberg6.rch_recharge_9.txt,freyberg6.rch_recharge_9.txt,,,%15.6E,,0,0.001,0,m,mult/rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
18,org/freyberg6.rch_recharge_10.txt,freyberg6.rch_recharge_10.txt,,,%15.6E,,0,0.001,0,m,mult/rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
19,org/freyberg6.rch_recharge_11.txt,freyberg6.rch_recharge_11.txt,,,%15.6E,,0,0.001,0,m,mult/rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
20,org/freyberg6.rch_recharge_12.txt,freyberg6.rch_recharge_12.txt,,,%15.6E,,0,0.001,0,m,mult/rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
